Date,Tweet
"Jan 28, 2021",<picture>
"Feb 4, 2021","No highs, no lows, only Doge"
"Feb 4, 2021",Dogecoin is the people’s crypto
"Feb 4, 2021",ur welcome
"Feb 4, 2021",Doge
"Feb 5, 2021",The future currency of Earth
"Feb 7, 2021",Ð is for Ðogecoin! Instructional video.
"Feb 7, 2021",Multiple musical notes Who let the Doge out Multiple musical notes
"Feb 7, 2021",So … it’s finally come to this …
"Feb 10, 2021","Bought some Dogecoin for lil X, so he can be a toddler hodler"
"Feb 11, 2021","Frodo was the underdoge,"
"Feb 14, 2021","If major Dogecoin holders sell most of their coins, it will get my full support. Too much concentration is the only real issue imo."
"Feb 21, 2021",Dojo 4 Doge
"Feb 24, 2021",Literally
"Mar 1, 2021",Doge meme shield (legendary item)
"Mar 5, 2021",Doge spelled backwards is Egod
"Mar 13, 2021",I’m getting a Shiba Inu #resistanceisfutile
"Mar 13, 2021","Why are you so dogematic, they ask"
"Mar 13, 2021",Doge day afternoon
"Mar 13, 2021",Origin of Doge Day Afternoon:...
"Jun 25, 2021",My Shiba Inu will be named Floki
"Jul 1, 2021","Baby Doge, doo, doo, doo, doo, doo..."
"Jul 1, 2021",Release the Doge!
"Jul 2, 2021",<picture>
"Jul 25, 2021",And finally 